key,value
ISO3,CHE
HDR Country Name,Switzerland
Human Development Groups,Very High
UNDP Developeing Regions,
Gross National Income Per Capita (2021 PPP$) (1998),70277.91663
Gross National Income Per Capita (2021 PPP$) (1999),71756.26319
Gross National Income Per Capita (2021 PPP$) (2000),74302.98283
Gross National Income Per Capita (2021 PPP$) (2001),73206.67357
Gross National Income Per Capita (2021 PPP$) (2002),72444.27042
Gross National Income Per Capita (2021 PPP$) (2003),75080.04049
Gross National Income Per Capita (2021 PPP$) (2004),75988.94832
Gross National Income Per Capita (2021 PPP$) (2005),78661.01112
Gross National Income Per Capita (2021 PPP$) (2006),80425.10407
Gross National Income Per Capita (2021 PPP$) (2007),77405.79709
Gross National Income Per Capita (2021 PPP$) (2008),72847.79552
Gross National Income Per Capita (2021 PPP$) (2009),76884.51324
Gross National Income Per Capita (2021 PPP$) (2010),81900.20392
Gross National Income Per Capita (2021 PPP$) (2011),78996.10126
Gross National Income Per Capita (2021 PPP$) (2012),80093.92938
Gross National Income Per Capita (2021 PPP$) (2013),79770.57698
Gross National Income Per Capita (2021 PPP$) (2014),79041.54726
Gross National Income Per Capita (2021 PPP$) (2015),80606.20914
Gross National Income Per Capita (2021 PPP$) (2016),79016.00197
Gross National Income Per Capita (2021 PPP$) (2017),77993.2677
Gross National Income Per Capita (2021 PPP$) (2018),77788.62854
Gross National Income Per Capita (2021 PPP$) (2019),78234.45513
Gross National Income Per Capita (2021 PPP$) (2020),74518.43775
Gross National Income Per Capita (2021 PPP$) (2021),80307.72449
Gross National Income Per Capita (2021 PPP$) (2022),82399.82968
Gross National Income Per Capita (2021 PPP$) (2023),81948.90177
GDI Group (2023),1
Gender Development Index (value) (1990),0.944
Gender Development Index (value) (1991),0.948
Gender Development Index (value) (1992),0.947
Gender Development Index (value) (1993),0.943
Gender Development Index (value) (1994),0.943
Gender Development Index (value) (1995),0.943
Gender Development Index (value) (1996),0.944
Gender Development Index (value) (1997),0.946
Gender Development Index (value) (1998),0.952
Gender Development Index (value) (1999),0.942
Gender Development Index (value) (2000),0.946
Gender Development Index (value) (2001),0.947
Gender Development Index (value) (2002),0.945
Gender Development Index (value) (2003),0.948
Gender Development Index (value) (2004),0.951
Gender Development Index (value) (2005),0.955
Gender Development Index (value) (2006),0.957
Gender Development Index (value) (2007),0.957
Gender Development Index (value) (2008),0.956
Gender Development Index (value) (2009),0.96
Gender Development Index (value) (2010),0.964
Gender Development Index (value) (2011),0.964
Gender Development Index (value) (2012),0.964
Gender Development Index (value) (2013),0.966
Gender Development Index (value) (2014),0.966
Gender Development Index (value) (2015),0.969
Gender Development Index (value) (2016),0.965
Gender Development Index (value) (2017),0.968
Gender Development Index (value) (2018),0.967
Gender Development Index (value) (2019),0.969
Gender Development Index (value) (2020),0.97
Gender Development Index (value) (2021),0.976
Gender Development Index (value) (2022),0.98
Gender Development Index (value) (2023),0.977
HDI female (1990),0.825640309
HDI female (1991),0.830243622
HDI female (1992),0.833316074
HDI female (1993),0.835810588
HDI female (1994),0.838516925
HDI female (1995),0.840166298
HDI female (1996),0.844339358
HDI female (1997),0.849267956
HDI female (1998),0.856896349
HDI female (1999),0.849637332
HDI female (2000),0.853769079
HDI female (2001),0.858612757
HDI female (2002),0.859159432
HDI female (2003),0.865286809
HDI female (2004),0.871841651
HDI female (2005),0.878077154
HDI female (2006),0.888723186
HDI female (2007),0.895935653
HDI female (2008),0.902384202
HDI female (2009),0.912607091
HDI female (2010),0.919242114
HDI female (2011),0.919882934
HDI female (2012),0.923055882
HDI female (2013),0.92773715
HDI female (2014),0.932282863
HDI female (2015),0.934789704
HDI female (2016),0.934490713
HDI female (2017),0.936770137
HDI female (2018),0.938678039
HDI female (2019),0.942434223
HDI female (2020),0.939906469
HDI female (2021),0.949794027
HDI female (2022),0.951503133
HDI female (2023),0.953671113
"Life Expectancy at Birth, female (years) (1990)",80.713
"Life Expectancy at Birth, female (years) (1991)",81.096
"Life Expectancy at Birth, female (years) (1992)",81.325
"Life Expectancy at Birth, female (years) (1993)",81.416
"Life Expectancy at Birth, female (years) (1994)",81.695
"Life Expectancy at Birth, female (years) (1995)",81.683
"Life Expectancy at Birth, female (years) (1996)",81.981
"Life Expectancy at Birth, female (years) (1997)",82.026
"Life Expectancy at Birth, female (years) (1998)",82.462
"Life Expectancy at Birth, female (years) (1999)",82.473
"Life Expectancy at Birth, female (years) (2000)",82.557
"Life Expectancy at Birth, female (years) (2001)",82.954
"Life Expectancy at Birth, female (years) (2002)",82.948
"Life Expectancy at Birth, female (years) (2003)",82.979
"Life Expectancy at Birth, female (years) (2004)",83.472
"Life Expectancy at Birth, female (years) (2005)",83.698
"Life Expectancy at Birth, female (years) (2006)",83.847
"Life Expectancy at Birth, female (years) (2007)",83.955
"Life Expectancy at Birth, female (years) (2008)",84.176
"Life Expectancy at Birth, female (years) (2009)",84.18
"Life Expectancy at Birth, female (years) (2010)",84.364
"Life Expectancy at Birth, female (years) (2011)",84.68
"Life Expectancy at Birth, female (years) (2012)",84.614
"Life Expectancy at Birth, female (years) (2013)",84.726
"Life Expectancy at Birth, female (years) (2014)",85.102
"Life Expectancy at Birth, female (years) (2015)",84.883
"Life Expectancy at Birth, female (years) (2016)",85.217
"Life Expectancy at Birth, female (years) (2017)",85.355
"Life Expectancy at Birth, female (years) (2018)",85.37
"Life Expectancy at Birth, female (years) (2019)",85.561
"Life Expectancy at Birth, female (years) (2020)",85.073
"Life Expectancy at Birth, female (years) (2021)",85.606
"Life Expectancy at Birth, female (years) (2022)",85.374
"Life Expectancy at Birth, female (years) (2023)",85.833
"Expected Years of Schooling, female (years) (1990)",12.90629959
"Expected Years of Schooling, female (years) (1991)",13.02548027
"Expected Years of Schooling, female (years) (1992)",13.25387001
"Expected Years of Schooling, female (years) (1993)",13.44639969
"Expected Years of Schooling, female (years) (1994)",13.59809017
"Expected Years of Schooling, female (years) (1995)",13.74744034
"Expected Years of Schooling, female (years) (1996)",13.82812023
"Expected Years of Schooling, female (years) (1997)",14.13703012
"Expected Years of Schooling, female (years) (1998)",14.44594002
"Expected Years of Schooling, female (years) (1999)",14.53687
"Expected Years of Schooling, female (years) (2000)",14.67870045
"Expected Years of Schooling, female (years) (2001)",14.72665977
"Expected Years of Schooling, female (years) (2002)",14.62104988
"Expected Years of Schooling, female (years) (2003)",14.78816032
"Expected Years of Schooling, female (years) (2004)",14.8867197
"Expected Years of Schooling, female (years) (2005)",14.96555042
"Expected Years of Schooling, female (years) (2006)",15.08378983
"Expected Years of Schooling, female (years) (2007)",15.23834038
"Expected Years of Schooling, female (years) (2008)",15.34189987
"Expected Years of Schooling, female (years) (2009)",15.41244984
"Expected Years of Schooling, female (years) (2010)",15.58465958
"Expected Years of Schooling, female (years) (2011)",15.55478954
"Expected Years of Schooling, female (years) (2012)",15.72142029
"Expected Years of Schooling, female (years) (2013)",15.96755028
"Expected Years of Schooling, female (years) (2014)",16.03940487
"Expected Years of Schooling, female (years) (2015)",16.11125946
"Expected Years of Schooling, female (years) (2016)",16.07568932
"Expected Years of Schooling, female (years) (2017)",16.15349007
"Expected Years of Schooling, female (years) (2018)",16.24295998
"Expected Years of Schooling, female (years) (2019)",16.34181976
"Expected Years of Schooling, female (years) (2020)",16.46332932
"Expected Years of Schooling, female (years) (2021)",16.67786026
"Expected Years of Schooling, female (years) (2022)",16.79874992
"Expected Years of Schooling, female (years) (2023)",16.79874992
"Mean Years of Schooling, female (years) (1990)",9.757216208
"Mean Years of Schooling, female (years) (1991)",9.742822001
"Mean Years of Schooling, female (years) (1992)",9.728427794
"Mean Years of Schooling, female (years) (1993)",9.714033586
"Mean Years of Schooling, female (years) (1994)",9.699639379
"Mean Years of Schooling, female (years) (1995)",9.685245172
"Mean Years of Schooling, female (years) (1996)",9.681132541
"Mean Years of Schooling, female (years) (1997)",9.67701991
"Mean Years of Schooling, female (years) (1998)",9.67290728
"Mean Years of Schooling, female (years) (1999)",9.668794649
"Mean Years of Schooling, female (years) (2000)",9.664682018
"Mean Years of Schooling, female (years) (2001)",9.843581452
"Mean Years of Schooling, female (years) (2002)",10.02248088
"Mean Years of Schooling, female (years) (2003)",10.20138032
"Mean Years of Schooling, female (years) (2004)",10.38027975
"Mean Years of Schooling, female (years) (2005)",10.55917918
"Mean Years of Schooling, female (years) (2006)",11.11438432
"Mean Years of Schooling, female (years) (2007)",11.66958946
"Mean Years of Schooling, female (years) (2008)",12.2247946
"Mean Years of Schooling, female (years) (2009)",12.77999973
"Mean Years of Schooling, female (years) (2010)",12.81000042
"Mean Years of Schooling, female (years) (2011)",12.81999969
"Mean Years of Schooling, female (years) (2012)",12.90999985
"Mean Years of Schooling, female (years) (2013)",13.03499985
"Mean Years of Schooling, female (years) (2014)",13.15999985
"Mean Years of Schooling, female (years) (2015)",13.27000046
"Mean Years of Schooling, female (years) (2016)",13.19999981
"Mean Years of Schooling, female (years) (2017)",13.29500008
"Mean Years of Schooling, female (years) (2018)",13.39000034
"Mean Years of Schooling, female (years) (2019)",13.47999954
"Mean Years of Schooling, female (years) (2020)",13.54510128
"Mean Years of Schooling, female (years) (2021)",13.61051744
"Mean Years of Schooling, female (years) (2022)",13.61051744
"Mean Years of Schooling, female (years) (2023)",13.61051744
"Gross National Income Per Capita, female (2021 PPP$) (1990)",43904.5275
"Gross National Income Per Capita, female (2021 PPP$) (1991)",45539.37751
"Gross National Income Per Capita, female (2021 PPP$) (1992)",45172.00438
"Gross National Income Per Capita, female (2021 PPP$) (1993)",45286.86558
"Gross National Income Per Capita, female (2021 PPP$) (1994)",45185.5108
"Gross National Income Per Capita, female (2021 PPP$) (1995)",45428.8858
"Gross National Income Per Capita, female (2021 PPP$) (1996)",47383.21355
"Gross National Income Per Capita, female (2021 PPP$) (1997)",48817.64394
"Gross National Income Per Capita, female (2021 PPP$) (1998)",51240.14375
"Gross National Income Per Capita, female (2021 PPP$) (1999)",42870.4365
"Gross National Income Per Capita, female (2021 PPP$) (2000)",44989.89278
"Gross National Income Per Capita, female (2021 PPP$) (2001)",45110.32289
"Gross National Income Per Capita, female (2021 PPP$) (2002)",44537.65272
"Gross National Income Per Capita, female (2021 PPP$) (2003)",46367.86432
"Gross National Income Per Capita, female (2021 PPP$) (2004)",47231.01635
"Gross National Income Per Capita, female (2021 PPP$) (2005)",49319.73325
"Gross National Income Per Capita, female (2021 PPP$) (2006)",51109.44676
"Gross National Income Per Capita, female (2021 PPP$) (2007)",49243.5298
"Gross National Income Per Capita, female (2021 PPP$) (2008)",46853.06694
"Gross National Income Per Capita, female (2021 PPP$) (2009)",49678.40434
"Gross National Income Per Capita, female (2021 PPP$) (2010)",53546.39513
"Gross National Income Per Capita, female (2021 PPP$) (2011)",52737.05996
"Gross National Income Per Capita, female (2021 PPP$) (2012)",53589.39706
"Gross National Income Per Capita, female (2021 PPP$) (2013)",53847.17228
"Gross National Income Per Capita, female (2021 PPP$) (2014)",54407.60052
"Gross National Income Per Capita, female (2021 PPP$) (2015)",56215.7036
"Gross National Income Per Capita, female (2021 PPP$) (2016)",55312.98197
"Gross National Income Per Capita, female (2021 PPP$) (2017)",55006.26397
"Gross National Income Per Capita, female (2021 PPP$) (2018)",54849.65583
"Gross National Income Per Capita, female (2021 PPP$) (2019)",55745.60196
"Gross National Income Per Capita, female (2021 PPP$) (2020)",53538.52293
"Gross National Income Per Capita, female (2021 PPP$) (2021)",58495.8225
"Gross National Income Per Capita, female (2021 PPP$) (2022)",60557.3136
"Gross National Income Per Capita, female (2021 PPP$) (2023)",60384.52515
HDI male (1990),0.874268962
HDI male (1991),0.876110648
HDI male (1992),0.879820509
HDI male (1993),0.886669526
HDI male (1994),0.888847417
HDI male (1995),0.890986838
HDI male (1996),0.894786276
HDI male (1997),0.897979046
HDI male (1998),0.899958926
HDI male (1999),0.902418209
HDI male (2000),0.902861286
HDI male (2001),0.90654536
HDI male (2002),0.908947874
HDI male (2003),0.912374908
HDI male (2004),0.917183474
HDI male (2005),0.919466392
HDI male (2006),0.928599232
HDI male (2007),0.936598557
HDI male (2008),0.944374189
HDI male (2009),0.95053664
HDI male (2010),0.953287692
HDI male (2011),0.954610565
HDI male (2012),0.957815764
HDI male (2013),0.960745066
HDI male (2014),0.964642226
HDI male (2015),0.964433658
HDI male (2016),0.968212117
HDI male (2017),0.967739494
HDI male (2018),0.970438435
HDI male (2019),0.972792055
HDI male (2020),0.969024735
HDI male (2021),0.97328807
HDI male (2022),0.970588114
HDI male (2023),0.975712172
"Life Expectancy at Birth, male (years) (1990)",73.956
"Life Expectancy at Birth, male (years) (1991)",74.109
"Life Expectancy at Birth, male (years) (1992)",74.45
"Life Expectancy at Birth, male (years) (1993)",74.904
"Life Expectancy at Birth, male (years) (1994)",75.137
"Life Expectancy at Birth, male (years) (1995)",75.292
"Life Expectancy at Birth, male (years) (1996)",75.935
"Life Expectancy at Birth, male (years) (1997)",76.243
"Life Expectancy at Birth, male (years) (1998)",76.314
"Life Expectancy at Birth, male (years) (1999)",76.778
"Life Expectancy at Birth, male (years) (2000)",76.918
"Life Expectancy at Birth, male (years) (2001)",77.349
"Life Expectancy at Birth, male (years) (2002)",77.731
"Life Expectancy at Birth, male (years) (2003)",77.887
"Life Expectancy at Birth, male (years) (2004)",78.434
"Life Expectancy at Birth, male (years) (2005)",78.578
"Life Expectancy at Birth, male (years) (2006)",79.034
"Life Expectancy at Birth, male (years) (2007)",79.25
"Life Expectancy at Birth, male (years) (2008)",79.571
"Life Expectancy at Birth, male (years) (2009)",79.628
"Life Expectancy at Birth, male (years) (2010)",80.028
"Life Expectancy at Birth, male (years) (2011)",80.289
"Life Expectancy at Birth, male (years) (2012)",80.457
